"","Industry","stat","year","value"
"1","Total, All Industries","Employment","1990",389806
"2","Total, All Industries","Employment","1991",404931
"3","Total, All Industries","Employment","1992",423604
"4","Total, All Industries","Employment","1993",455292
"5","Total, All Industries","Employment","1994",482858
"6","Total, All Industries","Employment","1995",512883
"7","Total, All Industries","Employment","1996",535024
"8","Total, All Industries","Employment","1997",560543
"9","Total, All Industries","Employment","1998",595181
"10","Total, All Industries","Employment","1999",628915
"11","Total, All Industries","Employment","2000",665233
"12","Total, All Industries","Employment","2001",665914
"13","Total, All Industries","Employment","2002",651102
"14","Total, All Industries","Employment","2003",645120
"15","Total, All Industries","Employment","2004",656263
"16","Total, All Industries","Employment","2005",686655
"17","Total, All Industries","Employment","2006",714307
"18","Total, All Industries","Employment","2007",750696
"19","Total, All Industries","Employment","2008",764398
"20","Total, All Industries","Employment","2009",743584
"21","Total, All Industries","Employment","2010",754767
"22","Total, All Industries","Employment","2011",782416
"23","Total, All Industries","Employment","2012",812602
"24","Total, All Industries","Employment","2013",845805
"25","Total, All Industries","Employment","2014",881613
"26","Total, All Industries","Employment","2015",922922
"27","Total, All Industries","Employment","2016",953719
"28","Total, All Industries","Employment","2017",984634
"29","Total, All Industries","Employment","2018",1020801
"30","Total, All Industries","Employment","2019",1061199
"31","Total, All Industries","Employment","2020",1030371
"32","Manufacturing","Employment","1990",47214
"33","Manufacturing","Employment","1991",50874
"34","Manufacturing","Employment","1992",53374
"35","Manufacturing","Employment","1993",56680
"36","Manufacturing","Employment","1994",59849
"37","Manufacturing","Employment","1995",64198
"38","Manufacturing","Employment","1996",67796
"39","Manufacturing","Employment","1997",71070
"40","Manufacturing","Employment","1998",76632
"41","Manufacturing","Employment","1999",76470
"42","Manufacturing","Employment","2000",82818
"43","Manufacturing","Employment","2001",76324
"44","Manufacturing","Employment","2002",63252
"45","Manufacturing","Employment","2003",58386
"46","Manufacturing","Employment","2004",57791
"47","Manufacturing","Employment","2005",57297
"48","Manufacturing","Employment","2006",59039
"49","Manufacturing","Employment","2007",60260
"50","Manufacturing","Employment","2008",58280
"51","Manufacturing","Employment","2009",48932
"52","Manufacturing","Employment","2010",47569
"53","Manufacturing","Employment","2011",49715
"54","Manufacturing","Employment","2012",50970
"55","Manufacturing","Employment","2013",52324
"56","Manufacturing","Employment","2014",57365
"57","Manufacturing","Employment","2015",57869
"58","Manufacturing","Employment","2016",55326
"59","Manufacturing","Employment","2017",56986
"60","Manufacturing","Employment","2018",60175
"61","Manufacturing","Employment","2019",62087
"62","Manufacturing","Employment","2020",61904
"63","TOTAL HIGH TECH","Employment","1990",58766
"64","TOTAL HIGH TECH","Employment","1991",63123
"65","TOTAL HIGH TECH","Employment","1992",65437
"66","TOTAL HIGH TECH","Employment","1993",70005
"67","TOTAL HIGH TECH","Employment","1994",71454
"68","TOTAL HIGH TECH","Employment","1995",77343
"69","TOTAL HIGH TECH","Employment","1996",83774
"70","TOTAL HIGH TECH","Employment","1997",90617
"71","TOTAL HIGH TECH","Employment","1998",102015
"72","TOTAL HIGH TECH","Employment","1999",111879
"73","TOTAL HIGH TECH","Employment","2000",126175
"74","TOTAL HIGH TECH","Employment","2001",119417
"75","TOTAL HIGH TECH","Employment","2002",106577
"76","TOTAL HIGH TECH","Employment","2003",101866
"77","TOTAL HIGH TECH","Employment","2004",102432
"78","TOTAL HIGH TECH","Employment","2005",106022
"79","TOTAL HIGH TECH","Employment","2006",109087
"80","TOTAL HIGH TECH","Employment","2007",114863
"81","TOTAL HIGH TECH","Employment","2008",114487
"82","TOTAL HIGH TECH","Employment","2009",106333
"83","TOTAL HIGH TECH","Employment","2010",108860
"84","TOTAL HIGH TECH","Employment","2011",116250
"85","TOTAL HIGH TECH","Employment","2012",121795
"86","TOTAL HIGH TECH","Employment","2013",127780
"87","TOTAL HIGH TECH","Employment","2014",134090
"88","TOTAL HIGH TECH","Employment","2015",141836
"89","TOTAL HIGH TECH","Employment","2016",143136
"90","TOTAL HIGH TECH","Employment","2017",148948
"91","TOTAL HIGH TECH","Employment","2018",158594
"92","TOTAL HIGH TECH","Employment","2019",170428
"93","TOTAL HIGH TECH","Employment","2020",176405
"94","HIGH TECH MANUFACTURING","Employment","1990",31916
"95","HIGH TECH MANUFACTURING","Employment","1991",35627
"96","HIGH TECH MANUFACTURING","Employment","1992",37316
"97","HIGH TECH MANUFACTURING","Employment","1993",39365
"98","HIGH TECH MANUFACTURING","Employment","1994",40863
"99","HIGH TECH MANUFACTURING","Employment","1995",44106
"100","HIGH TECH MANUFACTURING","Employment","1996",47122
"101","HIGH TECH MANUFACTURING","Employment","1997",49039
"102","HIGH TECH MANUFACTURING","Employment","1998",53962
"103","HIGH TECH MANUFACTURING","Employment","1999",52756
"104","HIGH TECH MANUFACTURING","Employment","2000",55403
"105","HIGH TECH MANUFACTURING","Employment","2001",49684
"106","HIGH TECH MANUFACTURING","Employment","2002",40000
"107","HIGH TECH MANUFACTURING","Employment","2003",36635
"108","HIGH TECH MANUFACTURING","Employment","2004",36383
"109","HIGH TECH MANUFACTURING","Employment","2005",35919
"110","HIGH TECH MANUFACTURING","Employment","2006",36841
"111","HIGH TECH MANUFACTURING","Employment","2007",36856
"112","HIGH TECH MANUFACTURING","Employment","2008",35576
"113","HIGH TECH MANUFACTURING","Employment","2009",31024
"114","HIGH TECH MANUFACTURING","Employment","2010",30703
"115","HIGH TECH MANUFACTURING","Employment","2011",32183
"116","HIGH TECH MANUFACTURING","Employment","2012",33085
"117","HIGH TECH MANUFACTURING","Employment","2013",33171
"118","HIGH TECH MANUFACTURING","Employment","2014",37524
"119","HIGH TECH MANUFACTURING","Employment","2015",37419
"120","HIGH TECH MANUFACTURING","Employment","2016",34512
"121","HIGH TECH MANUFACTURING","Employment","2017",35308
"122","HIGH TECH MANUFACTURING","Employment","2018",37295
"123","HIGH TECH MANUFACTURING","Employment","2019",38980
"124","HIGH TECH MANUFACTURING","Employment","2020",39270
"125","HIGH TECH NONMANUFACTURING","Employment","1990",26849
"126","HIGH TECH NONMANUFACTURING","Employment","1991",27495
"127","HIGH TECH NONMANUFACTURING","Employment","1992",28120
"128","HIGH TECH NONMANUFACTURING","Employment","1993",30639
"129","HIGH TECH NONMANUFACTURING","Employment","1994",30590
